"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BOOT1,RST1","2","SW_Push","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"C1,C4","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C3,C5","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1,D6,D7,D8,D9","5","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D2,D3,D4,D5","4","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"F1","1","250V@500mA","","","","Fuse:Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal","~"
"H1,H2,H3,H4","4","MH","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
"J1","1","01x04","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~"
"J2,J3,J4,J5","4","01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J6","1","01X02","","","","Battery:BatteryHolder_Keystone_1058_1x2032","~"
"K1,K2,K3,K4","4","SRD-05VDC-SL-C","","","","RELAY_5V:RELAY_SRD-05VDC-SL-C",""
"PS1","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"Q1,Q2,Q3,Q4","4","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1,R4,R5,R6,R7","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RN1","1","4k7","","","","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"RV1","1","275V-14D","","","","Varistor:RV_Disc_D15.5mm_W7.5mm_P7.5mm","~"
"U1","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","ESP32-C3-MINI-1-N4","","","","ESP32_C3_MINI:XCVR_ESP32-C3-MINI-1-N4",""
